hojin_id,stage,started_at,finished_at,duration_sec,urls_total,urls_done,urls_failed,seeding_source,discovered_total,live_check_enabled,live_checked_total,prefilter_kept,prefilter_dropped_status,prefilter_dropped_external,prefilter_dropped_score,filtered_total,filtered_dropped_patterns_lang,seed_roots_count,seed_brand_count,company_cap,company_cap_applied,per_root_max_discovered,per_root_mean_discovered,saved_html_total,saved_md_total,saved_json_total,md_suppressed_total,resumed_skips,drop_ratio_prefilter,drop_ratio_patterns_lang,drop_ratio_total,md_suppression_rate,throughput_urls_per_min,_progress_path
700000,seed,2025-10-30T02:44:22.697509,2025-10-30T02:44:22.721840,0.024331,0,0,0,sitemap+cc,44,False,0,44,0,0,0,19,25,1,0,,False,44,44.0,0,0,0,0,0,0.0,0.5681818181818182,0.5681818181818181,0.0,0.0,outputs\700000\checkpoints\progress.json
700001,seed,2025-10-30T02:44:22.740890,2025-10-30T02:44:22.761363,0.020473,0,0,0,sitemap+cc,1548,False,0,1548,0,0,0,471,1077,1,0,,False,1548,1548.0,0,0,0,0,0,0.0,0.6957364341085271,0.6957364341085271,0.0,0.0,outputs\700001\checkpoints\progress.json
700002,seed,2025-10-30T02:44:22.781620,2025-10-30T02:44:22.807969,0.026349,0,0,0,sitemap+cc,467,False,0,467,0,0,0,287,180,2,1,,False,252,233.5,0,0,0,0,0,0.0,0.3854389721627409,0.3854389721627409,0.0,0.0,outputs\700002\checkpoints\progress.json
700003,seed,2025-10-30T02:44:22.827361,2025-10-30T02:44:22.851046,0.023685,0,0,0,sitemap+cc,733,False,0,733,0,0,0,141,592,1,0,,False,733,733.0,0,0,0,0,0,0.0,0.8076398362892224,0.8076398362892223,0.0,0.0,outputs\700003\checkpoints\progress.json
700004,seed,2025-10-30T02:44:22.869071,2025-10-30T02:44:22.903574,0.034503,0,0,0,sitemap+cc,15,False,0,15,0,0,0,15,0,3,2,,False,5,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,outputs\700004\checkpoints\progress.json
700005,seed,2025-10-30T02:44:22.921170,2025-10-30T02:44:22.942810,0.02164,0,0,0,sitemap+cc,7874,False,0,7874,0,0,0,7507,367,2,1,,False,7873,3937.0,0,0,0,0,0,0.0,0.04660909321818644,0.046609093218186404,0.0,0.0,outputs\700005\checkpoints\progress.json
700006,seed,2025-10-30T02:44:22.962710,2025-10-30T02:44:22.982149,0.019439,0,0,0,sitemap+cc,1,False,0,1,0,0,0,1,0,1,0,,False,1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,outputs\700006\checkpoints\progress.json
700007,seed,2025-10-30T02:44:23.000355,2025-10-30T02:44:23.020696,0.020341,0,0,0,sitemap+cc,11,False,0,11,0,0,0,9,2,1,0,,False,11,11.0,0,0,0,0,0,0.0,0.18181818181818182,0.18181818181818177,0.0,0.0,outputs\700007\checkpoints\progress.json
700008,seed,2025-10-30T02:44:23.039789,2025-10-30T02:44:23.064200,0.024411,0,0,0,sitemap+cc,292,False,0,228,0,64,0,166,62,1,0,,False,292,292.0,0,0,0,0,0,0.2191780821917808,0.21232876712328766,0.43150684931506844,0.0,0.0,outputs\700008\checkpoints\progress.json
700009,seed,2025-10-30T02:44:23.081758,2025-10-30T02:44:23.106346,0.024588,0,0,0,sitemap+cc,208,False,0,208,0,0,0,194,14,1,0,,False,208,208.0,0,0,0,0,0,0.0,0.0673076923076923,0.06730769230769229,0.0,0.0,outputs\700009\checkpoints\progress.json
700010,seed,2025-10-30T02:44:23.126198,2025-10-30T02:44:23.148220,0.022022,0,0,0,sitemap+cc,2048,False,0,2046,0,2,0,1830,216,1,0,,False,2048,2048.0,0,0,0,0,0,0.0009765625,0.10546875,0.1064453125,0.0,0.0,outputs\700010\checkpoints\progress.json
700011,seed,2025-10-30T02:44:23.167852,2025-10-30T02:44:23.197842,0.02999,0,0,0,sitemap+cc,193,False,0,193,0,0,0,193,0,3,2,,False,190,64.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,outputs\700011\checkpoints\progress.json
700012,seed,2025-10-30T02:44:23.218873,2025-10-30T02:44:23.247636,0.028763,0,0,0,sitemap+cc,1340,False,0,1327,0,13,0,780,547,2,1,,False,1296,670.0,0,0,0,0,0,0.00970149253731345,0.4082089552238806,0.417910447761194,0.0,0.0,outputs\700012\checkpoints\progress.json
700013,seed,2025-10-30T02:44:23.268571,2025-10-30T02:44:23.292894,0.024323,0,0,0,sitemap+cc,27,False,0,27,0,0,0,1,26,1,0,,False,27,27.0,0,0,0,0,0,0.0,0.9629629629629629,0.962962962962963,0.0,0.0,outputs\700013\checkpoints\progress.json
700014,seed,2025-10-30T02:44:23.312237,2025-10-30T02:44:23.341493,0.029256,0,0,0,sitemap+cc,65,False,0,65,0,0,0,26,39,2,1,,False,43,32.5,0,0,0,0,0,0.0,0.6,0.6,0.0,0.0,outputs\700014\checkpoints\progress.json
700015,seed,2025-10-30T02:44:23.360626,2025-10-30T02:44:23.389761,0.029135,0,0,0,sitemap+cc,25365,False,0,25364,0,1,0,16406,8958,3,2,,False,25208,8455.0,0,0,0,0,0,3.942440370585665e-05,0.35316380839739797,0.3532032328011039,0.0,0.0,outputs\700015\checkpoints\progress.json
700016,seed,2025-10-30T02:44:23.409021,2025-10-30T02:44:23.439898,0.030877,0,0,0,sitemap+cc,94,False,0,94,0,0,0,42,52,1,0,,False,94,94.0,0,0,0,0,0,0.0,0.5531914893617021,0.5531914893617021,0.0,0.0,outputs\700016\checkpoints\progress.json
700017,seed,2025-10-30T02:44:23.459469,2025-10-30T02:44:23.483400,0.023931,0,0,0,sitemap+cc,703,False,0,703,0,0,0,353,350,3,2,,False,402,234.33333333333334,0,0,0,0,0,0.0,0.49786628733997157,0.4978662873399715,0.0,0.0,outputs\700017\checkpoints\progress.json
